,name,gas,pressure,temp,cutoff,path,Average loading absolute [mol/kg framework],Average loading excess [mol/kg framework],Average loading absolute [molecules/unit cell],Average loading excess [molecules/unit cell]
0,c6cc00589f_c6cc00589f2_clean,CO2,1.0,293.15,14.0,c6cc00589f_c6cc00589f2_clean_CO2_293.15K_1.0bar_14.0/Output/System_0,1.1103258478,1.1103258478,3.16576875,3.16576875
1,c6cc00589f_c6cc00589f2_clean,NH3,1.0,293.15,14.0,c6cc00589f_c6cc00589f2_clean_NH3_293.15K_1.0bar_14.0/Output/System_0,1.211081425,1.211081425,3.45304375,3.45304375
2,c6cc00589f_c6cc00589f2_clean,O2,1.0,293.15,14.0,c6cc00589f_c6cc00589f2_clean_O2_293.15K_1.0bar_14.0/Output/System_0,0.2106607886,0.2106607886,0.6006375,0.6006375
3,c6cc00589f_c6cc00589f2_clean,O2,15.0,293.15,14.0,c6cc00589f_c6cc00589f2_clean_O2_293.15K_15.0bar_14.0/Output/System_0,2.6448448637,2.6448448637,7.541,7.541
4,c6cc00589f_c6cc00589f2_clean,O2,5.0,293.15,14.0,c6cc00589f_c6cc00589f2_clean_O2_293.15K_5.0bar_14.0/Output/System_0,0.9846729194,0.9846729194,2.80750625,2.80750625
5,DITYEM_clean,CO2,1.0,293.15,14.0,DITYEM_clean_CO2_293.15K_1.0bar_14.0/Output/System_0,0.2504551693,0.2504551693,0.188009375,0.188009375
6,DITYEM_clean,NH3,1.0,293.15,14.0,DITYEM_clean_NH3_293.15K_1.0bar_14.0/Output/System_0,0.5103185909,0.5103185909,0.38308125,0.38308125
7,DITYEM_clean,O2,1.0,293.15,14.0,DITYEM_clean_O2_293.15K_1.0bar_14.0/Output/System_0,0.0474367411,0.0474367411,0.035609375,0.035609375
8,DITYEM_clean,O2,15.0,293.15,14.0,DITYEM_clean_O2_293.15K_15.0bar_14.0/Output/System_0,0.4937181599,0.4937181599,0.3706197917,0.3706197917
9,DITYEM_clean,O2,5.0,293.15,14.0,DITYEM_clean_O2_293.15K_5.0bar_14.0/Output/System_0,0.2141001838,0.2141001838,0.16071875,0.16071875
10,NAHHAI_clean,CO2,1.0,293.15,14.0,NAHHAI_clean_CO2_293.15K_1.0bar_14.0/Output/System_0,2.6192651078,2.6192651078,2.4724152778,2.4724152778
11,NAHHAI_clean,NH3,1.0,293.15,14.0,NAHHAI_clean_NH3_293.15K_1.0bar_14.0/Output/System_0,12.0970126727,12.0970126727,11.4187902778,11.4187902778
12,NAHHAI_clean,O2,1.0,293.15,14.0,NAHHAI_clean_O2_293.15K_1.0bar_14.0/Output/System_0,0.1121826046,0.1121826046,0.1058930556,0.1058930556
13,NAHHAI_clean,O2,15.0,293.15,14.0,NAHHAI_clean_O2_293.15K_15.0bar_14.0/Output/System_0,1.2396675874,1.2396675874,1.1701652778,1.1701652778
14,NAHHAI_clean,O2,5.0,293.15,14.0,NAHHAI_clean_O2_293.15K_5.0bar_14.0/Output/System_0,0.5065954722,0.5065954722,0.4781930556,0.4781930556
15,QAVPIO_clean,CO2,1.0,293.15,14.0,QAVPIO_clean_CO2_293.15K_1.0bar_14.0/Output/System_0,2.954773555,2.954773555,1.7219916667,1.7219916667
16,QAVPIO_clean,NH3,1.0,293.15,14.0,QAVPIO_clean_NH3_293.15K_1.0bar_14.0/Output/System_0,7.2869848231,7.2869848231,4.2467305556,4.2467305556
17,QAVPIO_clean,O2,1.0,293.15,14.0,QAVPIO_clean_O2_293.15K_1.0bar_14.0/Output/System_0,0.2227637499,0.2227637499,0.1298229167,0.1298229167
18,QAVPIO_clean,O2,15.0,293.15,14.0,QAVPIO_clean_O2_293.15K_15.0bar_14.0/Output/System_0,1.8184514305,1.8184514305,1.0597625,1.0597625
19,QAVPIO_clean,O2,5.0,293.15,14.0,QAVPIO_clean_O2_293.15K_5.0bar_14.0/Output/System_0,0.883350111,0.883350111,0.5148013889,0.5148013889
20,TOFTIT_clean,CO2,1.0,293.15,14.0,TOFTIT_clean_CO2_293.15K_1.0bar_14.0/Output/System_0,15.7999464411,15.7999464411,126.80535,126.80535
21,TOFTIT_clean,O2,1.0,293.15,14.0,TOFTIT_clean_O2_293.15K_1.0bar_14.0/Output/System_0,0.3212063366,0.3212063366,2.5779,2.5779
