,name,gas,pressure,temp,cutoff,path,Average loading absolute [mol/kg framework],Average loading excess [mol/kg framework],Average loading absolute [molecules/unit cell],Average loading excess [molecules/unit cell]
0,ABAYOU_clean,CO2,5.0,298.0,14.0,ABAYOU_clean_CO2_298.0K_5.0bar_14.0/Output/System_0,0.0,0.0,0.0,0.0
1,ACAKUM_clean,CO2,5.0,298.0,14.0,ACAKUM_clean_CO2_298.0K_5.0bar_14.0/Output/System_0,0.0,0.0,0.0,0.0
2,ADUROI_clean,CO2,5.0,298.0,14.0,ADUROI_clean_CO2_298.0K_5.0bar_14.0/Output/System_0,0.0,0.0,0.0,0.0
3,AFITEP_clean,CO2,5.0,298.0,14.0,AFITEP_clean_CO2_298.0K_5.0bar_14.0/Output/System_0,0.0,0.0,0.0,0.0
4,AGESIP_clean,CO2,5.0,298.0,14.0,AGESIP_clean_CO2_298.0K_5.0bar_14.0/Output/System_0,0.0,0.0,0.0,0.0
5,ALEJIM_clean,CO2,5.0,298.0,14.0,ALEJIM_clean_CO2_298.0K_5.0bar_14.0/Output/System_0,0.0,0.0,0.0,0.0
6,AMIWID_clean,CO2,5.0,298.0,14.0,AMIWID_clean_CO2_298.0K_5.0bar_14.0/Output/System_0,0.0,0.0,0.0,0.0
7,AMIXAW_clean,CO2,5.0,298.0,14.0,AMIXAW_clean_CO2_298.0K_5.0bar_14.0/Output/System_0,0.0,0.0,0.0,0.0
8,AMUWUB_clean,CO2,5.0,298.0,14.0,AMUWUB_clean_CO2_298.0K_5.0bar_14.0/Output/System_0,0.0,0.0,0.0,0.0
9,AQUKII_clean,CO2,5.0,298.0,14.0,AQUKII_clean_CO2_298.0K_5.0bar_14.0/Output/System_0,0.0,0.0,0.0,0.0
10,ASIVAB_clean,CO2,5.0,298.0,14.0,ASIVAB_clean_CO2_298.0K_5.0bar_14.0/Output/System_0,0.0,0.0,0.0,0.0
11,ASOSUY_clean,CO2,5.0,298.0,14.0,ASOSUY_clean_CO2_298.0K_5.0bar_14.0/Output/System_0,0.0,0.0,0.0,0.0
12,ATAFIK_clean,CO2,5.0,298.0,14.0,ATAFIK_clean_CO2_298.0K_5.0bar_14.0/Output/System_0,0.0,0.0,0.0,0.0
13,ATICEL_clean,CO2,5.0,298.0,14.0,ATICEL_clean_CO2_298.0K_5.0bar_14.0/Output/System_0,0.0,0.0,0.0,0.0
14,ATOGEV_clean,CO2,5.0,298.0,14.0,ATOGEV_clean_CO2_298.0K_5.0bar_14.0/Output/System_0,0.0,0.0,0.0,0.0
