,name,gas,pressure,temp,cutoff,path,Average loading absolute [mol/kg framework],Average loading excess [mol/kg framework],Average loading absolute [molecules/unit cell],Average loading excess [molecules/unit cell]
0,ABETAE_clean,O2,5.0,298.0,14.0,ABETAE_clean_O2_298.0K_5.0bar_14.0/Output/System_0,0.0,0.0,0.0,0.0
1,ACODAZ_clean,O2,5.0,298.0,14.0,ACODAZ_clean_O2_298.0K_5.0bar_14.0/Output/System_0,0.0,0.0,0.0,0.0
2,ADAVIM_clean,O2,5.0,298.0,14.0,ADAVIM_clean_O2_298.0K_5.0bar_14.0/Output/System_0,0.0,0.0,0.0,0.0
3,AHAMAY_clean,O2,5.0,298.0,14.0,AHAMAY_clean_O2_298.0K_5.0bar_14.0/Output/System_0,0.0,0.0,0.0,0.0
4,AMIWUP_clean,O2,5.0,298.0,14.0,AMIWUP_clean_O2_298.0K_5.0bar_14.0/Output/System_0,0.0,0.0,0.0,0.0
5,ANONAT_manual,O2,5.0,298.0,14.0,ANONAT_manual_O2_298.0K_5.0bar_14.0/Output/System_0,0.0,0.0,0.0,0.0
6,AQOMAW_clean,O2,5.0,298.0,14.0,AQOMAW_clean_O2_298.0K_5.0bar_14.0/Output/System_0,0.0,0.0,0.0,0.0
7,ARAHIM01_clean,O2,5.0,298.0,14.0,ARAHIM01_clean_O2_298.0K_5.0bar_14.0/Output/System_0,0.0,0.0,0.0,0.0
8,ARIDIQ_clean,O2,5.0,298.0,14.0,ARIDIQ_clean_O2_298.0K_5.0bar_14.0/Output/System_0,0.0,0.0,0.0,0.0
9,ASEKAM_clean,O2,5.0,298.0,14.0,ASEKAM_clean_O2_298.0K_5.0bar_14.0/Output/System_0,0.0,0.0,0.0,0.0
10,AVAKAL_clean,O2,5.0,298.0,14.0,AVAKAL_clean_O2_298.0K_5.0bar_14.0/Output/System_0,0.0,0.0,0.0,0.0
11,AVIVAC_clean,O2,5.0,298.0,14.0,AVIVAC_clean_O2_298.0K_5.0bar_14.0/Output/System_0,0.0,0.0,0.0,0.0
12,AVUCEA_clean,O2,5.0,298.0,14.0,AVUCEA_clean_O2_298.0K_5.0bar_14.0/Output/System_0,0.0,0.0,0.0,0.0
13,AWAGEL_clean,O2,5.0,298.0,14.0,AWAGEL_clean_O2_298.0K_5.0bar_14.0/Output/System_0,0.0,0.0,0.0,0.0
14,AZEBUE_clean,O2,5.0,298.0,14.0,AZEBUE_clean_O2_298.0K_5.0bar_14.0/Output/System_0,0.0,0.0,0.0,0.0
15,BALPIP_clean,O2,5.0,298.0,14.0,BALPIP_clean_O2_298.0K_5.0bar_14.0/Output/System_0,0.0,0.0,0.0,0.0
16,BASTEW_clean,O2,5.0,298.0,14.0,BASTEW_clean_O2_298.0K_5.0bar_14.0/Output/System_0,0.0,0.0,0.0,0.0
17,BASTUM_clean,O2,5.0,298.0,14.0,BASTUM_clean_O2_298.0K_5.0bar_14.0/Output/System_0,0.0,0.0,0.0,0.0
18,BEFNOR_clean,O2,5.0,298.0,14.0,BEFNOR_clean_O2_298.0K_5.0bar_14.0/Output/System_0,0.0,0.0,0.0,0.0
19,BEPNUH_clean,O2,5.0,298.0,14.0,BEPNUH_clean_O2_298.0K_5.0bar_14.0/Output/System_0,0.0,0.0,0.0,0.0
20,BEPVEZ_clean,O2,5.0,298.0,14.0,BEPVEZ_clean_O2_298.0K_5.0bar_14.0/Output/System_0,0.0,0.0,0.0,0.0
21,BEVRAW_clean,O2,5.0,298.0,14.0,BEVRAW_clean_O2_298.0K_5.0bar_14.0/Output/System_0,0.0,0.0,0.0,0.0
22,BEXVIL_clean,O2,5.0,298.0,14.0,BEXVIL_clean_O2_298.0K_5.0bar_14.0/Output/System_0,0.0,0.0,0.0,0.0
23,BIWSOQ_clean,O2,5.0,298.0,14.0,BIWSOQ_clean_O2_298.0K_5.0bar_14.0/Output/System_0,0.0,0.0,0.0,0.0
24,BIYTOU_clean,O2,5.0,298.0,14.0,BIYTOU_clean_O2_298.0K_5.0bar_14.0/Output/System_0,0.0,0.0,0.0,0.0
25,BIZMAA_clean,O2,5.0,298.0,14.0,BIZMAA_clean_O2_298.0K_5.0bar_14.0/Output/System_0,0.0,0.0,0.0,0.0
26,BOZFIH_clean,O2,5.0,298.0,14.0,BOZFIH_clean_O2_298.0K_5.0bar_14.0/Output/System_0,0.0,0.0,0.0,0.0
27,BUNLAZ_clean,O2,5.0,298.0,14.0,BUNLAZ_clean_O2_298.0K_5.0bar_14.0/Output/System_0,0.0,0.0,0.0,0.0
28,BUSQUC_clean,O2,5.0,298.0,14.0,BUSQUC_clean_O2_298.0K_5.0bar_14.0/Output/System_0,0.0,0.0,0.0,0.0
29,BUVKUA_clean,O2,5.0,298.0,14.0,BUVKUA_clean_O2_298.0K_5.0bar_14.0/Output/System_0,0.0,0.0,0.0,0.0
30,BUXNIT_clean,O2,5.0,298.0,14.0,BUXNIT_clean_O2_298.0K_5.0bar_14.0/Output/System_0,0.0,0.0,0.0,0.0
31,CAHQAG_clean,O2,5.0,298.0,14.0,CAHQAG_clean_O2_298.0K_5.0bar_14.0/Output/System_0,0.0,0.0,0.0,0.0
32,CAVSUP_clean,O2,5.0,298.0,14.0,CAVSUP_clean_O2_298.0K_5.0bar_14.0/Output/System_0,0.0,0.0,0.0,0.0
33,CAWDOU02_clean,O2,5.0,298.0,14.0,CAWDOU02_clean_O2_298.0K_5.0bar_14.0/Output/System_0,0.0,0.0,0.0,0.0
34,CEHROY_clean,O2,5.0,298.0,14.0,CEHROY_clean_O2_298.0K_5.0bar_14.0/Output/System_0,0.0,0.0,0.0,0.0
35,CEHTEP_clean,O2,5.0,298.0,14.0,CEHTEP_clean_O2_298.0K_5.0bar_14.0/Output/System_0,0.0,0.0,0.0,0.0
36,CENJIQ_clean,O2,5.0,298.0,14.0,CENJIQ_clean_O2_298.0K_5.0bar_14.0/Output/System_0,0.0,0.0,0.0,0.0
37,CESFOW_clean,O2,5.0,298.0,14.0,CESFOW_clean_O2_298.0K_5.0bar_14.0/Output/System_0,0.0,0.0,0.0,0.0
38,CICYIX_clean,O2,5.0,298.0,14.0,CICYIX_clean_O2_298.0K_5.0bar_14.0/Output/System_0,0.0,0.0,0.0,0.0
39,CIPCUB_clean,O2,5.0,298.0,14.0,CIPCUB_clean_O2_298.0K_5.0bar_14.0/Output/System_0,0.0,0.0,0.0,0.0
40,COCMUE_clean,O2,5.0,298.0,14.0,COCMUE_clean_O2_298.0K_5.0bar_14.0/Output/System_0,0.0,0.0,0.0,0.0
41,CODMUF_clean,O2,5.0,298.0,14.0,CODMUF_clean_O2_298.0K_5.0bar_14.0/Output/System_0,0.0,0.0,0.0,0.0
42,CODSOF_clean,O2,5.0,298.0,14.0,CODSOF_clean_O2_298.0K_5.0bar_14.0/Output/System_0,0.0,0.0,0.0,0.0
43,COKFAK_clean,O2,5.0,298.0,14.0,COKFAK_clean_O2_298.0K_5.0bar_14.0/Output/System_0,0.0,0.0,0.0,0.0
44,COTVOY_clean,O2,5.0,298.0,14.0,COTVOY_clean_O2_298.0K_5.0bar_14.0/Output/System_0,0.0,0.0,0.0,0.0
45,COTXOA_clean,O2,5.0,298.0,14.0,COTXOA_clean_O2_298.0K_5.0bar_14.0/Output/System_0,0.0,0.0,0.0,0.0
46,COWXOC_clean,O2,5.0,298.0,14.0,COWXOC_clean_O2_298.0K_5.0bar_14.0/Output/System_0,0.0,0.0,0.0,0.0
47,COYCEZ_clean,O2,5.0,298.0,14.0,COYCEZ_clean_O2_298.0K_5.0bar_14.0/Output/System_0,0.0,0.0,0.0,0.0
48,CUGFAN01_clean,O2,5.0,298.0,14.0,CUGFAN01_clean_O2_298.0K_5.0bar_14.0/Output/System_0,0.0,0.0,0.0,0.0
49,CUHLUO_clean,O2,5.0,298.0,14.0,CUHLUO_clean_O2_298.0K_5.0bar_14.0/Output/System_0,0.0,0.0,0.0,0.0
50,CUNQOT_clean,O2,5.0,298.0,14.0,CUNQOT_clean_O2_298.0K_5.0bar_14.0/Output/System_0,0.0,0.0,0.0,0.0
51,CUPHUS_clean,O2,5.0,298.0,14.0,CUPHUS_clean_O2_298.0K_5.0bar_14.0/Output/System_0,0.0,0.0,0.0,0.0
52,CUQRUD_clean,O2,5.0,298.0,14.0,CUQRUD_clean_O2_298.0K_5.0bar_14.0/Output/System_0,0.0,0.0,0.0,0.0
53,CUSZEX_clean,O2,5.0,298.0,14.0,CUSZEX_clean_O2_298.0K_5.0bar_14.0/Output/System_0,0.0,0.0,0.0,0.0
54,CUYWUP_clean,O2,5.0,298.0,14.0,CUYWUP_clean_O2_298.0K_5.0bar_14.0/Output/System_0,0.0,0.0,0.0,0.0
55,DACSEI_clean,O2,5.0,298.0,14.0,DACSEI_clean_O2_298.0K_5.0bar_14.0/Output/System_0,0.0,0.0,0.0,0.0
56,DAFJOM_clean,O2,5.0,298.0,14.0,DAFJOM_clean_O2_298.0K_5.0bar_14.0/Output/System_0,0.0,0.0,0.0,0.0
57,DAKHUU_clean,O2,5.0,298.0,14.0,DAKHUU_clean_O2_298.0K_5.0bar_14.0/Output/System_0,0.0,0.0,0.0,0.0
58,DALSER_clean,O2,5.0,298.0,14.0,DALSER_clean_O2_298.0K_5.0bar_14.0/Output/System_0,0.0,0.0,0.0,0.0
59,DARVAW_clean,O2,5.0,298.0,14.0,DARVAW_clean_O2_298.0K_5.0bar_14.0/Output/System_0,0.0,0.0,0.0,0.0
60,DAWBIO_clean,O2,5.0,298.0,14.0,DAWBIO_clean_O2_298.0K_5.0bar_14.0/Output/System_0,0.0,0.0,0.0,0.0
61,DAWCOV_clean,O2,5.0,298.0,14.0,DAWCOV_clean_O2_298.0K_5.0bar_14.0/Output/System_0,0.0,0.0,0.0,0.0
62,DEPXAY_clean,O2,5.0,298.0,14.0,DEPXAY_clean_O2_298.0K_5.0bar_14.0/Output/System_0,0.0,0.0,0.0,0.0
63,DEYLUQ_clean,O2,5.0,298.0,14.0,DEYLUQ_clean_O2_298.0K_5.0bar_14.0/Output/System_0,0.0,0.0,0.0,0.0
64,DIYTEM_clean,O2,5.0,298.0,14.0,DIYTEM_clean_O2_298.0K_5.0bar_14.0/Output/System_0,0.0,0.0,0.0,0.0
65,DOJXOQ_clean,O2,5.0,298.0,14.0,DOJXOQ_clean_O2_298.0K_5.0bar_14.0/Output/System_0,0.0,0.0,0.0,0.0
66,DUBKAO_clean,O2,5.0,298.0,14.0,DUBKAO_clean_O2_298.0K_5.0bar_14.0/Output/System_0,0.0,0.0,0.0,0.0
67,DUGGOD_clean,O2,5.0,298.0,14.0,DUGGOD_clean_O2_298.0K_5.0bar_14.0/Output/System_0,0.0,0.0,0.0,0.0
