,name,gas,pressure,temp,cutoff,path,Average loading absolute [mol/kg framework],Average loading excess [mol/kg framework],Average loading absolute [molecules/unit cell],Average loading excess [molecules/unit cell]
0,ABAYOU_clean,CO2,5.0,298.0,14.0,ABAYOU_clean_CO2_298.0K_5.0bar_14.0/Output/System_0,0.0,0.0,0.0,0.0
1,ACAKUM_clean,CO2,5.0,298.0,14.0,ACAKUM_clean_CO2_298.0K_5.0bar_14.0/Output/System_0,0.0,0.0,0.0,0.0
2,acs.cgd.5b00681_AJUPEC1449470_clean,CO2,5.0,298.0,14.0,acs.cgd.5b00681_AJUPEC1449470_clean_CO2_298.0K_5.0bar_14.0/Output/System_0,0.0,0.0,0.0,0.0
3,acs.inorgchem.6b00001_ic6b00001_si_004_clean,CO2,5.0,298.0,14.0,acs.inorgchem.6b00001_ic6b00001_si_004_clean_CO2_298.0K_5.0bar_14.0/Output/System_0,0.0,0.0,0.0,0.0
4,acs.inorgchem.6b00158_ic6b00158_si_002_clean,CO2,5.0,298.0,14.0,acs.inorgchem.6b00158_ic6b00158_si_002_clean_CO2_298.0K_5.0bar_14.0/Output/System_0,0.0,0.0,0.0,0.0
5,acscombsci.5b00188_5036495_clean,CO2,5.0,298.0,14.0,acscombsci.5b00188_5036495_clean_CO2_298.0K_5.0bar_14.0/Output/System_0,0.0,0.0,0.0,0.0
6,ADUROI_clean,CO2,5.0,298.0,14.0,ADUROI_clean_CO2_298.0K_5.0bar_14.0/Output/System_0,0.0,0.0,0.0,0.0
7,AFITEP_clean,CO2,5.0,298.0,14.0,AFITEP_clean_CO2_298.0K_5.0bar_14.0/Output/System_0,0.0,0.0,0.0,0.0
8,AGESIP_clean,CO2,5.0,298.0,14.0,AGESIP_clean_CO2_298.0K_5.0bar_14.0/Output/System_0,0.0,0.0,0.0,0.0
9,ALEJIM_clean,CO2,5.0,298.0,14.0,ALEJIM_clean_CO2_298.0K_5.0bar_14.0/Output/System_0,0.0,0.0,0.0,0.0
10,AMIWID_clean,CO2,5.0,298.0,14.0,AMIWID_clean_CO2_298.0K_5.0bar_14.0/Output/System_0,0.0,0.0,0.0,0.0
11,AMIXAW_clean,CO2,5.0,298.0,14.0,AMIXAW_clean_CO2_298.0K_5.0bar_14.0/Output/System_0,0.0,0.0,0.0,0.0
12,AMUWUB_clean,CO2,5.0,298.0,14.0,AMUWUB_clean_CO2_298.0K_5.0bar_14.0/Output/System_0,0.0,0.0,0.0,0.0
